# Figura 6.17 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 6 — DeltaT [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
51061.54,-0.0874
51061.54,-0.4313
51061.54,-0.0255
51061.54,-0.3680
51297.85,-0.1219
51297.86,0.0220
51297.85,-0.0787
51526.29,-0.0787
51526.29,-0.1780
51526.29,-0.0356
51526.29,-0.3781
51526.29,-0.1276
51762.60,0.0148
51762.60,-0.0845
51998.92,-0.0845
51998.92,-0.1838
51998.92,-0.0399
51998.92,-0.3823
52235.23,-0.1291
52235.23,0.0148
52235.23,-0.0859
52471.54,-0.0859
52471.54,-0.1852
52471.54,-0.0413
52471.54,-0.3823
52471.54,-0.1276
52699.98,0.0162
52699.98,-0.1823
52936.29,-0.0399
52936.29,-0.3795
52936.29,0.0191
53172.60,0.0191
53172.60,-0.1794
53172.60,-0.0356
53408.92,-0.0356
53408.92,-0.3737
53408.92,0.0249
53645.23,0.0249
53645.23,-0.1751
53645.23,-0.0298
53873.67,-0.0298
53873.66,-0.3680
53873.66,0.0292
54109.98,0.0292
54109.98,-0.1694
54346.29,-0.0240
54346.29,-0.3608
54346.29,0.0350
54582.60,0.0350
54582.60,-0.1637
54818.92,-0.4011
54818.92,0.0090
54818.92,-0.0917
55047.35,-0.0917
55047.35,-0.1909
55047.35,-0.0442
55047.35,-0.3809
55283.66,-0.1219
55283.66,0.0249
55283.66,-0.0758
55519.98,-0.0758
55519.98,-0.1751
55519.98,-0.0269
55519.98,-0.3622
55519.98,-0.1090
55756.29,0.0393
55756.29,-0.1608
55992.60,-0.0140
55992.60,-0.3464
55992.60,-0.0960
56221.04,-0.0960
56221.04,-0.1952
56221.04,-0.0485
56221.04,-0.3809
56221.04,0.0278
56457.35,0.0278
56457.35,-0.1722
56457.35,-0.0240
56693.66,-0.0240
56693.66,-0.3565
56693.66,0.0479
56929.98,0.0479
56929.98,-0.1521
56929.98,-0.0039
57166.29,-0.0039
